Date,AIR COMPRESSOR,ALTERNATOR,BATTERY,BRAKE CALIPER,BRAKE PAD,BRAKE ROTOR,CAMSHAFT,CARBERATOR,COIL SPRING,CRANKSHAFT,CYLINDER HEAD,DISTRIBUTOR,ENGINE BLOCK,FUEL INJECTOR,FUSE BOX,Production
2015-01-01,108,464,121,264,743,778,683,281,493,299,468,405,545,100,788,BRAKE ROTOR
2015-01-02,61,445,91,232,709,768,652,256,482,284,447,389,530,93,763,BRAKE ROTOR
2015-01-03,49,419,65,187,703,722,650,234,453,273,432,364,527,88,716,BRAKE ROTOR
2015-01-04,32,372,45,173,681,674,615,193,416,252,398,325,526,74,715,CRANKSHAFT
2015-01-05,131,372,28,156,644,641,596,156,384,207,380,314,494,48,674,AIR COMPRESSOR
2015-01-06,114,324,170,130,640,594,589,142,371,186,335,289,461,28,644,BATTERY
2015-01-07,96,313,121,104,598,576,588,109,328,181,290,266,438,65,600,FUEL INJECTOR
2015-01-08,56,263,100,76,593,562,548,94,321,167,286,256,392,55,587,FUSE BOX
2015-01-09,138,225,54,56,565,514,517,75,301,139,279,245,381,53,560,AIR COMPRESSOR
2015-01-10,101,218,53,23,545,487,480,36,264,100,258,198,350,88,541,FUEL INJECTOR
2015-01-11,91,186,29,89,536,451,454,11,227,69,218,186,310,54,536,BRAKE CALIPER
2015-01-12,77,174,71,86,506,434,414,5,221,21,187,160,301,34,507,BATTERY
2015-01-13,69,170,59,58,458,422,392,113,218,0,180,146,251,30,475,CARBERATOR
2015-01-14,64,127,25,48,443,384,346,73,199,61,170,106,244,5,428,CRANKSHAFT
2015-01-15,52,105,24,20,441,365,331,37,159,33,138,58,223,122,410,FUEL INJECTOR
2015-01-16,29,81,142,0,421,332,298,4,154,7,117,14,197,80,377,BATTERY
2015-01-17,19,60,141,56,388,326,285,4,139,0,115,0,155,30,328,BRAKE CALIPER
2015-01-18,12,39,107,51,370,304,262,149,89,0,94,0,130,19,309,CARBERATOR
2015-01-19,114,2,67,43,328,258,257,108,70,0,56,0,124,9,264,AIR COMPRESSOR
2015-01-20,103,101,65,41,314,230,250,67,55,0,45,0,111,0,243,ALTERNATOR
2015-01-21,90,54,44,30,284,197,203,55,9,121,6,0,97,0,242,CRANKSHAFT
2015-01-22,45,51,22,113,261,150,165,26,0,90,0,0,74,0,210,BRAKE CALIPER
2015-01-23,12,36,104,72,233,115,119,0,0,56,0,0,68,0,175,BATTERY
2015-01-24,9,67,103,34,215,112,115,0,0,31,0,0,44,0,140,ALTERNATOR
2015-01-25,134,60,85,0,208,90,72,0,0,18,0,0,3,0,101,AIR COMPRESSOR
2015-01-26,95,22,61,52,190,81,22,0,0,0,0,0,0,0,54,BRAKE CALIPER
2015-01-27,48,117,32,34,149,66,0,0,0,0,0,0,0,0,16,ALTERNATOR
2015-01-28,23,73,89,0,116,22,0,0,0,0,0,0,0,0,9,BATTERY
2015-01-29,2,71,72,119,72,0,0,0,0,0,0,0,0,0,0,BRAKE CALIPER
2015-01-30,50,57,28,115,55,0,0,0,0,0,0,0,0,0,0,AIR COMPRESSOR
2015-01-31,45,54,148,95,7,0,0,0,0,0,0,0,0,0,0,BATTERY
2015-02-01,12,17,115,64,5,112,0,0,0,0,0,0,0,0,0,BRAKE ROTOR
2015-02-02,62,0,72,56,0,109,0,0,0,0,0,0,0,0,0,AIR COMPRESSOR
2015-02-03,17,92,26,54,0,72,0,0,0,0,0,0,0,0,0,ALTERNATOR
2015-02-04,148,43,5,17,0,35,0,0,0,0,0,0,0,0,0,AIR COMPRESSOR
2015-02-05,122,9,111,0,0,29,0,0,0,0,0,0,0,0,0,BATTERY
2015-02-06,120,117,73,0,0,20,0,0,0,0,0,0,0,0,0,ALTERNATOR
2015-02-07,86,101,43,133,0,10,0,0,0,0,0,0,0,0,0,BRAKE CALIPER
2015-02-08,47,69,35,102,99,0,0,0,0,0,0,0,0,0,0,BRAKE PAD
2015-02-09,15,29,20,53,49,118,0,0,0,0,0,0,0,0,0,BRAKE ROTOR
2015-02-10,86,0,0,51,31,74,0,0,0,0,0,0,0,0,0,AIR COMPRESSOR
2015-02-11,76,54,0,3,2,51,0,0,0,0,0,0,0,0,0,ALTERNATOR
2015-02-12,48,49,143,0,0,39,0,0,0,0,0,0,0,0,0,BATTERY
2015-02-13,35,42,106,90,0,31,0,0,0,0,0,0,0,0,0,BRAKE CALIPER
2015-02-14,132,26,64,58,0,18,0,0,0,0,0,0,0,0,0,AIR COMPRESSOR
2015-02-15,84,138,43,28,0,0,0,0,0,0,0,0,0,0,0,ALTERNATOR
2015-02-16,36,130,40,9,126,0,0,0,0,0,0,0,0,0,0,BRAKE PAD
2015-02-17,10,120,143,0,109,0,0,0,0,0,0,0,0,0,0,BATTERY
2015-02-18,92,85,128,0,84,0,0,0,0,0,0,0,0,0,0,AIR COMPRESSOR
2015-02-19,81,49,115,61,59,0,0,0,0,0,0,0,0,0,0,BRAKE CALIPER
2015-02-20,48,7,70,50,39,124,0,0,0,0,0,0,0,0,0,BRAKE ROTOR
2015-02-21,39,118,38,46,15,76,0,0,0,0,0,0,0,0,0,ALTERNATOR
2015-02-22,32,107,13,16,57,56,0,0,0,0,0,0,0,0,0,BRAKE PAD
2015-02-23,23,93,107,0,52,16,0,0,0,0,0,0,0,0,0,BATTERY
2015-02-24,5,52,75,129,47,7,0,0,0,0,0,0,0,0,0,BRAKE CALIPER
2015-02-25,133,25,64,103,31,0,0,0,0,0,0,0,0,0,0,AIR COMPRESSOR
2015-02-26,110,20,50,80,24,143,0,0,0,0,0,0,0,0,0,BRAKE ROTOR
2015-02-27,105,10,12,46,107,138,0,0,0,0,0,0,0,0,0,BRAKE PAD
2015-02-28,103,131,0,36,76,101,0,0,0,0,0,0,0,0,0,ALTERNATOR
2015-03-01,72,98,95,24,29,75,0,0,0,0,0,0,0,0,0,BATTERY
2015-03-02,45,81,79,79,26,44,0,0,0,0,0,0,0,0,0,BRAKE CALIPER
2015-03-03,36,59,75,32,108,10,0,0,0,0,0,0,0,0,0,BRAKE PAD
2015-03-04,19,30,47,19,93,101,0,0,0,0,0,0,0,0,0,BRAKE ROTOR
2015-03-05,14,78,35,0,54,66,0,0,0,0,0,0,0,0,0,ALTERNATOR
2015-03-06,71,53,18,0,7,27,0,0,0,0,0,0,0,0,0,AIR COMPRESSOR
2015-03-07,24,23,4,128,0,17,0,0,0,0,0,0,0,0,0,BRAKE CALIPER
2015-03-08,89,12,0,92,0,0,0,0,0,0,0,0,0,0,0,AIR COMPRESSOR
2015-03-09,48,6,120,55,0,0,0,0,0,0,0,0,0,0,0,BATTERY
2015-03-10,113,0,77,25,0,0,0,0,0,0,0,0,0,0,0,AIR COMPRESSOR
2015-03-11,93,124,75,0,0,0,0,0,0,0,0,0,0,0,0,ALTERNATOR
2015-03-12,45,124,38,149,0,0,0,0,0,0,0,0,0,0,0,BRAKE CALIPER
2015-03-13,40,83,63,138,0,0,0,0,0,0,0,0,0,0,0,BATTERY
2015-03-14,7,81,38,124,138,0,0,0,0,0,0,0,0,0,0,BRAKE PAD
2015-03-15,118,56,0,104,109,0,0,0,0,0,0,0,0,0,0,AIR COMPRESSOR
2015-03-16,112,42,90,80,79,0,0,0,0,0,0,0,0,0,0,BATTERY
2015-03-17,91,2,50,53,42,133,0,0,0,0,0,0,0,0,0,BRAKE ROTOR
2015-03-18,88,131,36,9,23,119,0,0,0,0,0,0,0,0,0,ALTERNATOR
2015-03-19,52,87,6,77,0,86,0,0,0,0,0,0,0,0,0,BRAKE CALIPER
2015-03-20,23,63,80,55,0,56,0,0,0,0,0,0,0,0,0,BATTERY
2015-03-21,114,61,34,12,0,39,0,0,0,0,0,0,0,0,0,AIR COMPRESSOR
2015-03-22,68,58,2,95,0,17,0,0,0,0,0,0,0,0,0,BRAKE CALIPER
2015-03-23,53,33,1,93,61,1,0,0,0,0,0,0,0,0,0,BRAKE PAD
2015-03-24,48,31,104,80,34,0,0,0,0,0,0,0,0,0,0,BATTERY
2015-03-25,44,13,96,65,31,141,0,0,0,0,0,0,0,0,0,BRAKE ROTOR
2015-03-26,39,116,54,41,18,128,0,0,0,0,0,0,0,0,0,ALTERNATOR
2015-03-27,35,70,47,2,75,109,0,0,0,0,0,0,0,0,0,BRAKE PAD
2015-03-28,82,66,2,0,35,79,0,0,0,0,0,0,0,0,0,AIR COMPRESSOR
2015-03-29,50,48,62,0,32,45,0,0,0,0,0,0,0,0,0,BATTERY
2015-03-30,39,36,30,56,0,14,0,0,0,0,0,0,0,0,0,BRAKE CALIPER
2015-03-31,1,22,6,55,92,12,0,0,0,0,0,0,0,0,0,BRAKE PAD
2015-04-01,1,15,61,8,45,3,0,0,0,0,0,0,0,0,0,BATTERY
2015-04-02,53,0,54,0,24,0,0,0,0,0,0,0,0,0,0,AIR COMPRESSOR
2015-04-03,22,104,6,0,13,0,0,0,0,0,0,0,0,0,0,ALTERNATOR
2015-04-04,22,88,127,0,0,0,0,0,0,0,0,0,0,0,0,BATTERY
2015-04-05,145,74,93,0,0,0,0,0,0,0,0,0,0,0,0,AIR COMPRESSOR
2015-04-06,143,57,70,143,0,0,0,0,0,0,0,0,0,0,0,BRAKE CALIPER
2015-04-07,108,30,49,118,94,0,0,0,0,0,0,0,0,0,0,BRAKE PAD
2015-04-08,82,104,4,106,47,0,0,0,0,0,0,0,0,0,0,ALTERNATOR
2015-04-09,33,101,82,77,13,0,0,0,0,0,0,0,0,0,0,BATTERY
2015-04-10,5,61,34,64,8,92,0,0,0,0,0,0,0,0,0,BRAKE ROTOR
2015-04-11,55,25,0,53,0,70,0,0,0,0,0,0,0,0,0,AIR COMPRESSOR
2015-04-12,54,21,125,45,0,40,0,0,0,0,0,0,0,0,0,BATTERY
2015-04-13,49,4,79,15,110,29,0,0,0,0,0,0,0,0,0,BRAKE PAD
2015-04-14,32,80,62,14,89,0,0,0,0,0,0,0,0,0,0,ALTERNATOR
2015-04-15,16,47,24,54,84,0,0,0,0,0,0,0,0,0,0,BRAKE CALIPER
2015-04-16,140,32,18,32,43,0,0,0,0,0,0,0,0,0,0,AIR COMPRESSOR
2015-04-17,120,81,9,29,0,0,0,0,0,0,0,0,0,0,0,ALTERNATOR
2015-04-18,101,76,77,5,0,0,0,0,0,0,0,0,0,0,0,BATTERY
2015-04-19,90,27,40,77,0,0,0,0,0,0,0,0,0,0,0,BRAKE CALIPER
2015-04-20,58,104,15,48,0,0,0,0,0,0,0,0,0,0,0,ALTERNATOR
2015-04-21,28,96,82,46,0,0,0,0,0,0,0,0,0,0,0,BATTERY
2015-04-22,7,56,67,42,53,0,0,0,0,0,0,0,0,0,0,BRAKE PAD
2015-04-23,110,26,58,5,44,0,0,0,0,0,0,0,0,0,0,AIR COMPRESSOR
2015-04-24,85,18,44,100,38,0,0,0,0,0,0,0,0,0,0,BRAKE CALIPER
2015-04-25,71,9,36,78,6,149,0,0,0,0,0,0,0,0,0,BRAKE ROTOR
2015-04-26,61,122,0,61,0,138,0,0,0,0,0,0,0,0,0,ALTERNATOR
2015-04-27,15,94,104,32,0,124,0,0,0,0,0,0,0,0,0,BATTERY
2015-04-28,148,52,103,24,0,98,0,0,0,0,0,0,0,0,0,AIR COMPRESSOR
2015-04-29,132,20,94,90,0,82,0,0,0,0,0,0,0,0,0,BRAKE CALIPER
2015-04-30,112,19,78,52,109,42,0,0,0,0,0,0,0,0,0,BRAKE PAD
2015-05-01,111,112,31,8,81,36,0,0,0,0,0,0,0,0,0,ALTERNATOR
2015-05-02,62,97,7,138,32,12,0,0,0,0,0,0,0,0,0,BRAKE CALIPER
